歌名,歌手,专辑,时长,爬取时间
座位,向思思,座位,207秒,2025-04-13 19:07:33
兰花草 (我从山中来),半吨兄弟,兰花草,195秒,2025-04-13 19:07:33
I Love You So,The Walters,Songs for Dads,160秒,2025-04-13 19:07:33
泪桥 (Live),张震岳,音你而来2 第2期,221秒,2025-04-13 19:07:33
深深,黄建威,深深,169秒,2025-04-13 19:07:33
Wasted (Murkish Remix|Explicit),Strangerboi24,2021... (Explicit),180秒,2025-04-13 19:07:33
我想你了,海来阿木,我想你了,217秒,2025-04-13 19:07:33
我想爱你浅浅不停息 (李建),粱老师,春雪,213秒,2025-04-13 19:07:33
Dont Call Me Know（Wx Drum）,RSF_107,Dont Call Me Know（Wx Drum）,150秒,2025-04-13 19:07:33
樱花树下,张敬轩,Urban Emotions,249秒,2025-04-13 19:07:33
有一种遗憾叫我们,于冬然,有一种遗憾叫我们,210秒,2025-04-13 19:07:33
我知道爱本质无异,周深深,我知道爱本质无异,182秒,2025-04-13 19:07:33
味道,方大同,JTW 西游记 (Black),249秒,2025-04-13 19:07:33
看着我的眼睛说,张远,看着我的眼睛说,260秒,2025-04-13 19:07:33
枯树 (高燃摇滚版),小梁的（梁思琪）,枯树 （高燃摇滚版）,181秒,2025-04-13 19:07:33
听不见的歌,张艺兴,听不见的歌,262秒,2025-04-13 19:07:33
月儿湾,周林枫,月儿湾,184秒,2025-04-13 19:07:33
可我只是海,斯丹曼簇,可我只是海,291秒,2025-04-13 19:07:33
心跳,en,心跳,221秒,2025-04-13 19:07:33
来电瑶,法老,来电瑶,220秒,2025-04-13 19:07:33
keep your eyes on me,三棱镜,keep your eyes on me,131秒,2025-04-13 19:07:33
봄 사랑 벚꽃 말고 (除了春天爱情和樱花),HIGH4 (하이포),봄 사랑 벚꽃 말고 (除了春天爱情和樱花),195秒,2025-04-13 19:07:33
断了联系却断不了想你,杨不乖,断了联系却断不了想你,198秒,2025-04-13 19:07:33
座位,小阿七,座位,207秒,2025-04-13 19:07:33
死疙瘩Pt.2,卡铂,死疙瘩Pt.2,136秒,2025-04-13 19:07:33
